"('Oferta biura nieruchomości',)","('ul. Złota 75a 2 pok. apartamentowiec klasy PREMIUM',)","('Warszawa, Wola, ul. Złota',)","('959000',)","('15133',)","('63,37',)","('2',)","('wtórny',)","('apartamentowiec',)","('2',)","('8',)","('żelbet',)","('2018',)",pełna własność
"('Oferta biura nieruchomości',)","('na Lokatę INWESTYCJĘ 3 pokoje blisko Pl Zbawiciela',)","('Warszawa, Śródmieście, Śródmieście Południowe, ul. Marszałkowska',)","('753000',)","('13243',)","('56,86',)","('3',)","('wtórny',)","('kamienica',)","('2',)","('6',)","('cegła',)","('1952',)",pełna własność
"('Oferta biura nieruchomości',)","('3 pokoje ul. Marszałkowska 82m.kw. 5 min do Metra',)","('Warszawa, Śródmieście, Śródmieście Południowe',)","('960000',)","('11707',)","('82',)","('3',)","('wtórny',)","('kamienica',)","('1',)","('6',)","('cegła',)","('1955',)",pełna własność
"('Oferta biura nieruchomości',)","('Plac Zbawiciela 2 pokoje 39 m.kw. ul. Mokotowska',)","('Warszawa, Śródmieście',)","('709000',)","('18179',)","('39',)","('2',)","('wtórny',)","('kamienica',)","('1',)","('4',)","('cegła',)","('1956',)",pełna własność
"('Oferta biura nieruchomości',)","('POWIŚLE na INWESTYCJĘ 2 pokoje 45,61 m.',)","('Warszawa, Śródmieście, Śródmieście Południowe, ul. Przemysłowa',)","('593000',)","('13002',)","('45,61',)","('2',)","('pierwotny',)","('kamienica',)","('4',)","('6',)","('cegła',)","('2019',)",Brak danych
"('Oferta biura nieruchomości',)","('2 pokoje 54 m.kw. do REMONTU blisko Metra, Powiśle',)","('Warszawa, Śródmieście, Powiśle, ul. Stefana Jaracza',)","('719530',)","('13300',)","('54,10',)","('2',)","('wtórny',)","('kamienica',)","('3',)","('4',)","('cegła',)","('1938',)",pełna własność
"('Oferta biura nieruchomości',)","('Kawalerka 29,96 m.kw. blisko METRA ul. POLNA',)","('Warszawa, Śródmieście, Śródmieście Południowe, ul. Polna',)","('449000',)","('14987',)","('29,96',)","('1',)","('wtórny',)","('blok',)","('10',)","('11',)","('beton',)","('1960',)",spółdzielcze własnościowe
"('Oferta biura nieruchomości',)","('przy CH Arkadia ul. Burakowska 2 pokoje',)","('Warszawa, Śródmieście, Śródmieście Północne, ul. Burakowska',)","('640000',)","('16410',)","('39',)","('2',)","('pierwotny',)","('apartamentowiec',)","('1',)","('6',)","('żelbet',)","('2019',)",Brak danych
"('Oferta biura nieruchomości',)","('na INWESTYCJĘ można zrobić 3 oddzielne pokoje',)","('Warszawa, Mokotów, ul. Bernardyńska',)","('517000',)","('8319',)","('62,15',)","('2',)","('wtórny',)","('blok',)","('> 10',)","('13',)","('wielka płyta',)","('1980',)",pełna własność
"('Oferta biura nieruchomości',)","('400 m. Metro Płocka CICHE 4 pokoje 2 st. postojowe',)","('Warszawa, Wola, ul. Ludwiki',)","('819000',)","('9785',)","('83,70',)","('4',)","('wtórny',)","('blok',)","('1',)","('9',)","('cegła',)","('2002',)",pełna własność
"('Oferta biura nieruchomości',)","('Stary Mokotów - kamienica 84,97 m.kw.',)","('Warszawa, Mokotów, Górny Mokotów, ul. Jarosława Dąbrowskiego',)","('1011000',)","('11898',)","('84,97',)","('3',)","('wtórny',)","('kamienica',)","('4',)","('4',)","('cegła',)","('1935',)",pełna własność
"('Oferta biura nieruchomości',)","('na INWESTYCJĘ 2 pokoje ul. J Kazimierza 2015 r.',)","('Warszawa, Wola, ul. Jana Kazimierza',)","('550000',)","('11672',)","('47,12',)","('2',)","('wtórny',)","('apartamentowiec',)","('1',)","('5',)","('żelbet',)","('2015',)",pełna własność
"('Oferta biura nieruchomości',)","('2 pokoje CENTRUM blisko Metro Świętokrzyska',)","('Warszawa, Śródmieście, ul. Graniczna',)","('530000',)","('13660',)","('38,80',)","('2',)","('wtórny',)","('blok',)","('10',)","('15',)","('wielka płyta',)","('1970',)",spółdzielcze wł. z KW
"('Oferta prywatna',)","('12 kawalerek, butikowy hostel',)","('Warszawa, Śródmieście, ul. Wilcza',)","('2600000',)","('11818',)","('220',)","('więcej niż 10',)","('wtórny',)","('kamienica',)","('4',)","('4',)","('Brak danych',)","('1900',)",pełna własność
"('Oferta biura nieruchomości',)","('Mieszkanie 3 pokojowe na Starej Ochocie',)","('Warszawa, Ochota, Aleje Jerozolimskie',)","('1040000',)","('11429',)","('91',)","('3',)","('wtórny',)","('blok',)","('8',)","('9',)","('Brak danych',)","('Brak danych',)",pełna własność
"('Oferta biura nieruchomości',)","('Sprzedam Mieszkanie 49 mkw. Metro Młociny, Okazja!',)","('Warszawa, Bielany, Wrzeciono',)","('459000',)","('9367',)","('49',)","('2',)","('wtórny',)","('blok',)","('10',)","('10',)","('wielka płyta',)","('Brak danych',)",spółdzielcze wł. z KW
"('Oferta biura nieruchomości',)","('mieszkanie z dużym tarasem, Gocław',)","('Warszawa, Praga-Południe, Gocław',)","('398000',)","('10311',)","('38,60',)","('2',)","('wtórny',)","('blok',)","('7',)","('7',)","('cegła',)","('2001',)",spółdzielcze własnościowe
"('Oferta prywatna',)","('Mieszkanie w wysokim standardzie na Grochowskej',)","('Warszawa, Praga-Południe, ul. Grochowska',)","('1050000',)","('7664',)","('137',)","('3',)","('wtórny',)","('blok',)","('3',)","('5',)","('Brak danych',)","('1999',)",pełna własność
"('Oferta biura nieruchomości',)","('Najprawdopodobniej najlepsze M-4 na Woli. Sprawdź!',)","('Warszawa, Wola, Ulrychów, ul. Jana Olbrachta',)","('448000',)","('8960',)","('50',)","('3',)","('wtórny',)","('blok',)","('9',)","('10',)","('wielka płyta',)","('1974',)",spółdzielcze własnościowe
"('Oferta prywatna',)","('Kawalerka w rozwijającej się okolicy Kolejowej!!',)","('Warszawa, Wola, ul. Sławińska',)","('409300',)","('13575',)","('30,15',)","('1',)","('wtórny',)","('apartamentowiec',)","('4',)","('8',)","('Brak danych',)","('2017',)",pełna własność
"('Oferta prywatna',)","('Dwa pokoje, okolica ul. Kolejowej !!',)","('Warszawa, Wola, ul. Sławińska',)","('495900',)","('12864',)","('38,55',)","('2',)","('wtórny',)","('Brak danych',)","('7',)","('8',)","('Brak danych',)","('2017',)",pełna własność
"('Oferta prywatna',)","('2-pokoje Bielany, Heroldów, oddzielna kuchnia',)","('Warszawa, Bielany, ul. Heroldów',)","('460000',)","('8984',)","('51,20',)","('2',)","('wtórny',)","('blok',)","('2',)","('4',)","('beton komórkowy',)","('2007',)",pełna własność
"('Oferta prywatna',)","('Apartament 3 pokojowy ul. Tamka BEZPOŚREDNIO',)","('Warszawa, Śródmieście, ul. Tamka',)","('1270000',)","('20159',)","('63',)","('3',)","('wtórny',)","('kamienica',)","('5',)","('7',)","('cegła',)","('1914',)",pełna własność
"('Oferta prywatna',)","('Blisko Łazienek, 3/4 pok, NISKA CENA, bezpośrednio',)","('Warszawa, Mokotów, Czerniaków, ul. Zwierzyniecka',)","('699000',)","('8848',)","('79',)","('4',)","('wtórny',)","('apartamentowiec',)","('2',)","('7',)","('cegła',)","('2018',)",pełna własność
"('Oferta prywatna',)","('49,89m2 Warszawa, Śródmieście ul.Górnośląska',)","('Warszawa, Śródmieście, Śródmieście Południowe, ul. Górnośląska',)","('1250000',)","('25070',)","('49,86',)","('2',)","('wtórny',)","('kamienica',)","('2',)","('5',)","('cegła',)","('1924',)",spółdzielcze wł. z KW
"('Oferta prywatna',)","('3 pokoje, 47 m2 - Bielany ul. Kochanowskiego',)","('Warszawa, Bielany, ul. Jana Kochanowskiego',)","('519000',)","('11043',)","('47',)","('3',)","('wtórny',)","('blok',)","('4',)","('4',)","('wielka płyta',)","('1970',)",spółdzielcze wł. z KW
"('Oferta biura nieruchomości',)","('2-pok.54 m2, ul.Coopera garaż w cenie 2011 r',)","('Warszawa, Bemowo, ul. gen. Meriana C. Coopera',)","('529000',)","('9796',)","('54',)","('2',)","('wtórny',)","('blok',)","('parter',)","('3',)","('cegła',)","('2011',)",pełna własność
"('Oferta prywatna',)","('Mokotów Sadyba dwa pokoje',)","('Warszawa, Mokotów, Sadyba',)","('390000',)","('10052',)","('38,80',)","('2',)","('wtórny',)","('blok',)","('parter',)","('10',)","('wielka płyta',)","('1970',)",spółdzielcze własnościowe
"('Oferta biura nieruchomości',)","('2-pok. ul.Orląt Lwowskich 45,5 m2',)","('Warszawa, Ursus, ul.Orląt lwowskich',)","('350000',)","('7692',)","('45,50',)","('2',)","('wtórny',)","('blok',)","('5',)","('10',)","('wielka płyta',)","('Brak danych',)",spółdzielcze własnościowe
"('Oferta biura nieruchomości',)","('2 pokoje z tarasem na Skarbka z Gór!',)","('Warszawa, Białołęka',)","('390000',)","('7800',)","('50',)","('2',)","('wtórny',)","('blok',)","('parter',)","('3',)","('inne',)","('2012',)",pełna własność
"('Oferta prywatna',)","('BEZPOŚREDNIO,2 pokoje,2001r opcjonalnie z garazem',)","('Warszawa, Bemowo, ul. Powstańców Śląskich 106D',)","('454500',)","('10100',)","('45',)","('2',)","('wtórny',)","('blok',)","('1',)","('7',)","('cegła',)","('2001',)",spółdzielcze własnościowe
"('Oferta prywatna',)","('MIeszkanie dwupoziomowe, Warszawa',)","('Warszawa, mazowieckie',)","('363000',)","('3393',)","('107',)","('3',)","('pierwotny',)","('szeregowiec',)","('1',)","('2',)","('cegła',)","('2019',)",Brak danych
"('Oferta prywatna',)","('Bezpośrednio! Bemowo, 2-pok, Po remoncie, Metro II',)","('Warszawa, Bemowo, Jelonki, ul. Borowej Góry',)","('359000',)","('11967',)","('30',)","('2',)","('wtórny',)","('blok',)","('7',)","('10',)","('Brak danych',)","('1975',)",spółdzielcze własnościowe
"('Oferta biura nieruchomości',)","('Przestronne 3 pokoje przy Metro Wilanowska',)","('Warszawa, Mokotów, ul. Bukowińska',)","('869000',)","('11286',)","('77',)","('2',)","('wtórny',)","('blok',)","('10',)","('15',)","('cegła',)","('2008',)",pełna własność
"('Oferta biura nieruchomości',)","('Mieszkanie 71 m2, ul. Konstruktorska, Mokotów',)","('Warszawa, Mokotów, ul. Konstruktorska',)","('820000',)","('11549',)","('71',)","('3',)","('wtórny',)","('apartamentowiec',)","('1',)","('9',)","('cegła',)","('2014',)",pełna własność
"('Oferta prywatna',)","('Bezpośrednio Komfortowy Apartament Mokotów 90m2',)","('Warszawa, Mokotów, Dolny Mokotów',)","('1090000',)","('12247',)","('89',)","('3',)","('wtórny',)","('apartamentowiec',)","('1',)","('6',)","('cegła',)","('2008',)",pełna własność
"('Oferta prywatna',)","('Mieszkanie 2-pokojowe.63,20 m²,Warszawa,Fabryczna',)","('Warszawa, Śródmieście, Powiśle, ul. Fabryczna',)","('884800',)","('14000',)","('63,20',)","('2',)","('wtórny',)","('blok',)","('6',)","('7',)","('cegła',)","('1997',)",pełna własność
"('Oferta prywatna',)","('Mieszkanie 3 pokoje - PRAGA POŁUDNIE ul. Szaserów',)","('Warszawa, Praga-Południe',)","('550000',)","('9649',)","('57',)","('3',)","('wtórny',)","('blok',)","('1',)","('2',)","('cegła',)","('Brak danych',)",spółdzielcze wł. z KW
"('Oferta prywatna',)","('Mieszkanie 83,01m, 3 pokoje, Warszawa Mokotów',)","('Warszawa, Mokotów',)","('889000',)","('10710',)","('83,01',)","('3',)","('wtórny',)","('blok',)","('4',)","('6',)","('Brak danych',)","('2009',)",pełna własność
"('Oferta biura nieruchomości',)","('Rodzinne, duże mieszkanie w Wawrze, 126 m2',)","('Warszawa, Wawer, Romana Pazińskiego',)","('870000',)","('6905',)","('126',)","('5',)","('wtórny',)","('blok',)","('2',)","('4',)","('Brak danych',)","('1960',)",Brak danych
"('Oferta prywatna',)","('3-pokojowe Warszawa Płocka Metro!',)","('Warszawa, Wola, ul. Płocka',)","('499900',)","('9089',)","('55',)","('3',)","('wtórny',)","('blok',)","('5',)","('10',)","('wielka płyta',)","('1970',)",spółdzielcze własnościowe
"('Oferta prywatna',)","('Dzień OTWARTY w Promocyjnej cenie :) Gocław!',)","('Warszawa, Praga-Południe, Gocław, ul. Polskich Skrzydeł 4',)","('448888',)","('7359',)","('61',)","('3',)","('wtórny',)","('blok',)","('parter',)","('12',)","('wielka płyta',)","('Brak danych',)",pełna własność
"('Oferta prywatna',)","('sprzedam kawalerke zoliborz/bielany',)","('Warszawa, Żoliborz, ul. Adama Mickiewicza',)","('395000',)","('13167',)","('30',)","('1',)","('wtórny',)","('apartamentowiec',)","('2',)","('5',)","('cegła',)","('2019',)",pełna własność
"('Oferta prywatna',)","('Sprzedam mieszkanie 70 m2 Wawer',)","('Warszawa, Wawer',)","('599000',)","('8553',)","('70,03',)","('3',)","('wtórny',)","('dom wolnostojący',)","('1',)","('1',)","('cegła',)","('Brak danych',)",pełna własność
"('Oferta biura nieruchomości',)","('Ochota, Rakowska, 2 pok., 41 m2, 2018 rok',)","('Warszawa, Ochota',)","('450000',)","('10976',)","('41',)","('2',)","('wtórny',)","('blok',)","('4',)","('4',)","('Brak danych',)","('2018',)",Brak danych
"('Oferta biura nieruchomości',)","('Klucze w 02 Q 2020. Oddzielna kuchnia. Zieleń.',)","('Warszawa, Wola',)","('356000',)","('12276',)","('29',)","('1',)","('pierwotny',)","('apartamentowiec',)","('1',)","('7',)","('Brak danych',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('Atrakcyjny apartament na Żoliborzu',)","('Warszawa, Żoliborz, Sybilli',)","('1030000',)","('9810',)","('105',)","('4',)","('wtórny',)","('apartamentowiec',)","('10',)","('15',)","('cegła',)","('2006',)",pełna własność
"('Oferta biura nieruchomości',)","('3 pokojowe przy powstającej linii metra',)","('Warszawa, Targówek, Bródno',)","('393000',)","('7346',)","('53,50',)","('3',)","('wtórny',)","('blok',)","('5',)","('10',)","('wielka płyta',)","('Brak danych',)",spółdzielcze własnościowe
"('Oferta biura nieruchomości',)","('Biska Bruzdowa - ogród - 2 m.postojowe',)","('Warszawa, Wilanów, Zawady, Bruzdowa',)","('710000',)","('8941',)","('79,41',)","('3',)","('wtórny',)","('blok',)","('parter',)","('2',)","('Brak danych',)","('2009',)",pełna własność
"('Oferta biura nieruchomości',)","('Wspaniały Apartament. Piękny Salon',)","('Warszawa, Wola, Aleja Prymasa Tysiąclecia',)","('1050192',)","('10800',)","('97,24',)","('4',)","('pierwotny',)","('Brak danych',)","('> 10',)","('27',)","('Brak danych',)","('2021',)",Brak danych
"('Oferta biura nieruchomości',)","('30m2 z wyposażeniem!!! 2009r Pilnie',)","('Warszawa, Wola, Sebastiana Klonowicza',)","('360000',)","('12081',)","('29,80',)","('1',)","('wtórny',)","('Brak danych',)","('4',)","('7',)","('cegła',)","('2009',)",Brak danych
"('Oferta prywatna',)","('Śródm. Ul. Złota - 91m2 - METRO Centrum - 1930r.',)","('Warszawa, Śródmieście, Złota',)","('1140000',)","('12527',)","('91',)","('4',)","('wtórny',)","('kamienica',)","('5',)","('6',)","('cegła',)","('1930',)",pełna własność
"('Oferta prywatna',)","('Wilanów POWSIN - 130m2 + ogród 500m2 + taras 20m2',)","('Warszawa, Wilanów',)","('1949000',)","('14972',)","('130,18',)","('4',)","('wtórny',)","('apartamentowiec',)","('1',)","('1',)","('cegła',)","('2017',)",pełna własność
"('Oferta prywatna',)","('Mieszkanie 45 m2 Warszawa Rembertów 2 pokoje',)","('Warszawa, Rembertów, Stary Rembertów',)","('345000',)","('7658',)","('45,05',)","('2',)","('wtórny',)","('kamienica',)","('1',)","('3',)","('Brak danych',)","('Brak danych',)",pełna własność
"('Oferta biura nieruchomości',)","('4 pokoje, 15 min Centrum, dwa garaże',)","('Warszawa, Praga-Południe, Grochowska',)","('440520',)","('8009',)","('55',)","('4',)","('wtórny',)","('blok',)","('3',)","('5',)","('cegła',)","('2019',)",pełna własność
"('Oferta prywatna',)","('Apartament na Mokotowie / BEZPOŚREDNIO / MODUO',)","('Warszawa, Mokotów, ul. Cybernetyki',)","('699706',)","('10865',)","('64,40',)","('3',)","('pierwotny',)","('apartamentowiec',)","('parter',)","('8',)","('cegła',)","('2020',)",pełna własność
"('Oferta biura nieruchomości',)","('Duża kawalerka 39 m2 na Zielonej Białołęce.',)","('Warszawa, Białołęka, Skarbka z Gór',)","('285000',)","('7308',)","('39',)","('1',)","('wtórny',)","('blok',)","('1',)","('3',)","('cegła',)","('2008',)",pełna własność
"('Oferta biura nieruchomości',)","('2 pokojowe mieszkanie na ładnym osiedlu',)","('Warszawa, Białołęka, Skarbka z Gór',)","('355000',)","('8637',)","('41,10',)","('2',)","('wtórny',)","('blok',)","('parter',)","('2',)","('Brak danych',)","('2013',)",pełna własność
"('Oferta dewelopera',)","('Siewierska, mieszkanie nr 14',)","('Warszawa, Ochota, Stara Ochota, ul. Siewierska',)","('Zapytajocenę',)","('',)","('65,92',)","('3',)","('pierwotny',)","('Brak danych',)","('2',)","('6',)","('Brak danych',)","('Brak danych',)",Brak danych
"('Oferta biura nieruchomości',)","('Metro 11 minut pieszo, 3 pokoje, Dolina Służewieck',)","('Warszawa, Mokotów',)","('629000',)","('9677',)","('65',)","('3',)","('wtórny',)","('blok',)","('1',)","('10',)","('Brak danych',)","('1978',)",Brak danych
"('Oferta biura nieruchomości',)","('Ogromny salon, piękny widok, sprawdź koniecznie!',)","('Warszawa, Bielany',)","('712800',)","('8000',)","('89,10',)","('3',)","('wtórny',)","('blok',)","('4',)","('4',)","('cegła',)","('2000',)",Brak danych
"('Oferta biura nieruchomości',)","('5 rozkładowych i ustawnych pokoi z balkonem',)","('Warszawa, Wola',)","('1650000',)","('13436',)","('122,80',)","('5',)","('wtórny',)","('blok',)","('10',)","('10',)","('cegła',)","('2005',)",spółdzielcze własnościowe
"('Oferta prywatna',)","('Sprzedam mieszkanie 44,5m2, ul.Aluzyjna 33D',)","('Warszawa, Białołęka, ul. Aluzyjna',)","('320000',)","('7191',)","('44,50',)","('2',)","('wtórny',)","('blok',)","('5',)","('7',)","('żelbet',)","('2008',)",pełna własność
"('Oferta biura nieruchomości',)","('Rozkładowe 2 pokoje w kamienicy Mokotów',)","('Warszawa, Mokotów',)","('525000',)","('11170',)","('47',)","('2',)","('wtórny',)","('kamienica',)","('2',)","('4',)","('Brak danych',)","('Brak danych',)",pełna własność
"('Oferta biura nieruchomości',)","('Super 3 pokoje po remoncie Białołęka',)","('Warszawa, Białołęka, Tarchomin',)","('499000',)","('7858',)","('63,50',)","('3',)","('wtórny',)","('Brak danych',)","('2',)","('3',)","('Brak danych',)","('2005',)",pełna własność
"('Oferta prywatna',)","('BEZPOŚREDNIO 3 pokoje 67m Saska Kępa Meksykańska',)","('Warszawa, Praga-Południe, Saska Kępa, ul. Meksykańska',)","('840000',)","('12537',)","('67',)","('3',)","('wtórny',)","('blok',)","('7',)","('9',)","('cegła',)","('2007',)",pełna własność
"('Oferta prywatna',)","('Sprzedam mieszkanie 46m Bielany 2 pokoje',)","('Warszawa, Bielany, ul. Starej Baśni',)","('435000',)","('9519',)","('45,70',)","('2',)","('wtórny',)","('blok',)","('10',)","('10',)","('inne',)","('1971',)",spółdzielcze własnościowe
"('Oferta biura nieruchomości',)","('Unikalny apartament - mieszkanie dla konesera!',)","('Warszawa, Wilanów, Krzysztofa Kieślowskiego',)","('1850000',)","('19604',)","('94,37',)","('3',)","('wtórny',)","('apartamentowiec',)","('3',)","('4',)","('cegła',)","('2016',)",pełna własność
"('Oferta biura nieruchomości',)","('Piękne mieszkanie na Powiślu / 2 pokoje / cesja',)","('Warszawa, Śródmieście, Przemysłowa',)","('673000',)","('12997',)","('51,78',)","('2',)","('pierwotny',)","('kamienica',)","('2',)","('6',)","('cegła',)","('1930',)",pełna własność
"('Oferta biura nieruchomości',)","('Piękne nowe mieszkanie Anin- kameralna inwestycja',)","('Warszawa, Wawer, Anin, Wygodna',)","('780000',)","('7784',)","('100,20',)","('4',)","('pierwotny',)","('apartamentowiec',)","('1',)","('2',)","('cegła',)","('2018',)",pełna własność
"('Oferta biura nieruchomości',)","('Dwupokojowe mieszkanie przy Starym Mieście',)","('Warszawa, Śródmieście, Franciszkańska',)","('906960',)","('18895',)","('48',)","('2',)","('wtórny',)","('blok',)","('2',)","('4',)","('cegła',)","('1959',)",pełna własność
"('Oferta biura nieruchomości',)","('Metro Wierzbno; dwustronne; wysokie; cegła; ciche',)","('Warszawa, Mokotów, Górny Mokotów',)","('579000',)","('11603',)","('49,90',)","('2',)","('wtórny',)","('kamienica',)","('parter',)","('4',)","('cegła',)","('1958',)",pełna własność
"('Oferta biura nieruchomości',)","('Luksusowy apartament na 4 piętrze, 3 M wysokości',)","('Warszawa, Mokotów, Piaseczyńska',)","('2137320',)","('18020',)","('118,61',)","('4',)","('wtórny',)","('apartamentowiec',)","('4',)","('6',)","('cegła',)","('2019',)",pełna własność
